,Date,Users,year,month,day,day of week,weekend
574,2021-07-28,34,2021,7,28,2,False
575,2021-07-29,41,2021,7,29,3,False
576,2021-07-30,27,2021,7,30,4,False
577,2021-07-31,22,2021,7,31,5,True
578,2021-08-01,29,2021,8,1,6,True
579,2021-08-02,44,2021,8,2,0,False
580,2021-08-03,31,2021,8,3,1,False
581,2021-08-04,47,2021,8,4,2,False
582,2021-08-05,39,2021,8,5,3,False
583,2021-08-06,39,2021,8,6,4,False
584,2021-08-07,23,2021,8,7,5,True
585,2021-08-08,24,2021,8,8,6,True
586,2021-08-09,41,2021,8,9,0,False
587,2021-08-10,44,2021,8,10,1,False
588,2021-08-11,33,2021,8,11,2,False
589,2021-08-12,33,2021,8,12,3,False
590,2021-08-13,20,2021,8,13,4,False
591,2021-08-14,18,2021,8,14,5,True
592,2021-08-15,23,2021,8,15,6,True
593,2021-08-16,29,2021,8,16,0,False
594,2021-08-17,39,2021,8,17,1,False
595,2021-08-18,36,2021,8,18,2,False
596,2021-08-19,24,2021,8,19,3,False
597,2021-08-20,35,2021,8,20,4,False
598,2021-08-21,29,2021,8,21,5,True
599,2021-08-22,19,2021,8,22,6,True
600,2021-08-23,38,2021,8,23,0,False
601,2021-08-24,53,2021,8,24,1,False
602,2021-08-25,37,2021,8,25,2,False
603,2021-08-26,56,2021,8,26,3,False
604,2021-08-27,43,2021,8,27,4,False
605,2021-08-28,24,2021,8,28,5,True
606,2021-08-29,34,2021,8,29,6,True
607,2021-08-30,44,2021,8,30,0,False
608,2021-08-31,50,2021,8,31,1,False
609,2021-09-01,57,2021,9,1,2,False
610,2021-09-02,42,2021,9,2,3,False
611,2021-09-03,37,2021,9,3,4,False
612,2021-09-04,23,2021,9,4,5,True
613,2021-09-05,31,2021,9,5,6,True
614,2021-09-06,53,2021,9,6,0,False
615,2021-09-07,59,2021,9,7,1,False
616,2021-09-08,66,2021,9,8,2,False
617,2021-09-09,53,2021,9,9,3,False
618,2021-09-10,37,2021,9,10,4,False
619,2021-09-11,30,2021,9,11,5,True
620,2021-09-12,36,2021,9,12,6,True
621,2021-09-13,46,2021,9,13,0,False
622,2021-09-14,46,2021,9,14,1,False
623,2021-09-15,64,2021,9,15,2,False
624,2021-09-16,43,2021,9,16,3,False
625,2021-09-17,39,2021,9,17,4,False
626,2021-09-18,33,2021,9,18,5,True
627,2021-09-19,26,2021,9,19,6,True
628,2021-09-20,52,2021,9,20,0,False
